告警起点,命中官方窗,S1,M1,在线挂RUL,分数比值,油温比值
2020-02-02 07:45:00,False,False,False,False,,
2020-02-04 03:58:00,False,False,False,False,,
2020-02-04 16:17:00,False,False,False,False,,1.0734400444850458
2020-02-04 22:26:00,False,False,False,False,,1.047493608119625
2020-02-05 04:32:00,False,False,False,False,,1.0231043102795245
2020-02-06 07:56:00,False,False,False,False,,1.0020705464763737
2020-02-06 23:37:00,False,True,False,False,2.620059902252247,1.0030668046112918
2020-02-07 12:25:00,False,True,False,False,2.2833052765134747,1.0031003174134496
2020-02-07 16:52:00,False,True,False,False,2.1717036731482993,1.0098314606741572
2020-02-08 06:36:00,False,True,False,False,1.5978961202820667,1.024104016094181
2020-02-08 15:52:00,False,True,False,False,1.5624027146988966,1.0268241937880815
2020-02-08 18:14:00,False,True,False,False,1.584114004501289,1.0282129334026282
2020-02-08 20:59:00,False,True,False,False,1.5576813632400537,1.0322388946664685
2020-02-08 23:27:00,False,True,False,False,1.565920378120424,1.0345685429971778
2020-02-09 04:42:00,False,True,False,False,1.5739971580115386,1.0352661667532852
2020-02-09 16:33:00,False,True,False,False,1.514825022882737,1.0282191694099772
2020-02-09 20:05:00,False,True,False,False,1.534586814177319,1.03248670998228
2020-02-09 22:50:00,False,True,False,False,1.5053276326529712,1.0376528840113808
2020-02-10 04:43:00,False,True,False,False,1.5108882464443436,1.0407363596037262
2020-02-10 17:43:00,False,True,False,False,1.350791241188246,1.0292837648447295
2020-02-10 23:27:00,False,False,False,False,1.210142877880327,1.0201618837380428
2020-02-11 04:44:00,False,False,False,False,1.1758131945412935,1.0168712783944718
2020-02-11 23:13:00,False,False,False,False,1.1438292586343481,1.0132980677393284
2020-02-13 04:59:00,False,False,False,False,1.0915278602899203,1.0049696703939195
2020-02-16 14:21:00,False,False,False,False,1.0995525143992213,1.0115311633338198
2020-02-17 04:41:00,False,False,False,False,1.1425171122726072,1.0034967582137393
2020-02-17 18:26:00,False,False,False,False,1.2198687831491093,0.9935622317596566
2020-02-20 01:28:00,False,False,False,False,1.1387594608557714,0.9795509847555269
2020-02-22 21:16:00,False,False,False,False,1.0495349691640745,0.9861608120937706
