unit,true_RUL,ridge_pred_RUL,gradient_boosting_pred_RUL
1,112.0,3.208496,0.0
2,98.0,0.0,0.0
3,69.0,12.010193,0.0
4,82.0,7.661339,0.0
5,91.0,8.552231,0.0
6,93.0,15.687508,0.0
7,91.0,32.53421,8.123466115988068
8,95.0,20.921646,5.634346901122069
9,111.0,0.0,0.0
10,96.0,37.65534,8.884688846907412
11,97.0,2.6264877,0.0
12,124.0,43.538654,10.75472297697067
13,95.0,37.014297,8.492160898568606
14,107.0,0.0,0.0
15,83.0,14.681686,0.0
16,84.0,22.276093,0.0
17,50.0,17.737686,6.254167786285859
18,28.0,12.399429,0.8630110175829868
19,87.0,23.481125,3.068818107537954
20,16.0,11.005669,2.293997090317174
21,57.0,25.401897,5.388847767893691
22,111.0,4.183296,0.0
23,113.0,29.1734,3.425091372115375
24,20.0,8.084991,1.9364832333158062
25,145.0,2.467842,0.0
26,119.0,14.209442,0.0
27,66.0,25.579708,3.8957059418446227
28,97.0,25.430176,6.07425272931072
29,90.0,29.089428,7.345536329540903
30,115.0,25.771751,4.075684243829976
31,8.0,6.884804,2.7721887900680118
32,48.0,16.54969,4.1892332130228604
33,106.0,0.0,0.0
34,7.0,13.428726,3.7860240231725126
35,11.0,6.004471,2.9150676761553584
36,19.0,0.0,0.0
37,21.0,10.881744,0.0
38,50.0,6.271721,0.0
39,142.0,6.5659637,0.0
40,28.0,0.06561279,0.0
41,18.0,13.950081,0.0
42,10.0,10.598389,1.243681576621242
43,59.0,22.757042,5.6464088977271105
44,109.0,0.94397736,0.0
45,114.0,15.113144,2.3830478046385406
46,47.0,4.532387,0.0
47,135.0,6.937149,0.0
48,92.0,4.0525436,0.0
49,21.0,46.897793,7.302215383472587
50,79.0,7.589287,0.0
51,114.0,23.791992,4.4308378640038475
52,29.0,23.154827,5.945265913397568
53,26.0,7.5307007,4.35291568258806
54,97.0,27.150307,0.9286382525744349
55,137.0,19.921715,0.0
56,15.0,0.70248413,0.0
57,103.0,24.539299,6.364862883765758
58,37.0,22.78888,4.032681882194768
59,114.0,18.674011,0.0
60,100.0,27.016975,4.408593375472896
61,21.0,7.5858536,1.6031383416071303
62,54.0,38.29566,10.586829291737976
63,72.0,24.927559,4.532978809081523
64,28.0,13.444069,2.1165894859922876
65,128.0,18.214165,0.0
66,14.0,0.0,0.0
67,77.0,12.699921,0.0
68,8.0,4.64003,2.268787569200117
69,121.0,7.276886,0.0
70,94.0,23.590076,5.682710584346231
71,118.0,4.6137314,0.0
72,50.0,16.16359,1.659137209060459
73,131.0,25.493496,0.0
74,126.0,19.383385,3.1121185272173433
75,113.0,10.518501,0.0
76,10.0,5.2086105,3.4285101661711455
77,34.0,15.906609,5.198844799626746
78,107.0,17.799438,0.0
79,63.0,14.852615,0.0
80,90.0,14.130287,2.383601174038481
81,8.0,7.6418533,3.594564981861323
82,9.0,3.4583206,1.6810873844969592
83,137.0,9.1556015,0.0
84,58.0,23.546387,5.714292092560471
85,118.0,0.0,0.0
86,89.0,12.21727,0.0
87,116.0,10.691498,0.0
88,115.0,9.020233,0.0
89,136.0,32.869705,7.522943933865791
90,28.0,6.6788177,0.0
91,38.0,30.964737,5.032851013796138
92,20.0,4.69545,0.21494731005858075
93,85.0,31.599045,5.442584932878145
94,55.0,8.905373,0.27079901057209443
95,128.0,20.001144,0.0
96,137.0,17.794159,0.0
97,82.0,21.163895,2.4861336649724635
98,59.0,10.76329,0.0
99,117.0,21.214798,0.0
100,20.0,4.1874466,2.557553819153991
